Entity,Code,Year,Tonnes
Liberia,LBR,1975,23000
Liberia,LBR,1976,24000
Liberia,LBR,1977,25000
Liberia,LBR,1978,25000
Liberia,LBR,1979,26000
Liberia,LBR,1980,27000
Liberia,LBR,1981,25000
Liberia,LBR,1982,30000
Liberia,LBR,1983,30000
Liberia,LBR,1984,34000
Liberia,LBR,1985,34000
Liberia,LBR,1986,30000
Liberia,LBR,1987,27500
Liberia,LBR,1988,26000
Liberia,LBR,1989,25000
Liberia,LBR,1990,23500
Liberia,LBR,1991,35000
Liberia,LBR,1992,35000
Liberia,LBR,1993,35000
Liberia,LBR,1994,36000
Liberia,LBR,1995,35000
Liberia,LBR,1996,32915
Liberia,LBR,1997,42000
Liberia,LBR,1998,42000
Liberia,LBR,1999,42000
Liberia,LBR,2000,42000
Liberia,LBR,2001,42000
Liberia,LBR,2002,42000
Liberia,LBR,2003,42000
Liberia,LBR,2004,42000
Liberia,LBR,2005,42000
Liberia,LBR,2006,42000
Liberia,LBR,2007,42000
Liberia,LBR,2008,42000
Liberia,LBR,2009,42000
Liberia,LBR,2010,42000
Liberia,LBR,2011,42000
Liberia,LBR,2012,42000
Liberia,LBR,2013,42000
Liberia,LBR,2014,43656
Liberia,LBR,2015,42440
Liberia,LBR,2016,42250
Liberia,LBR,2017,42200
Liberia,LBR,2018,42490
Low Income Food Deficit Countries,,1961,418482
Low Income Food Deficit Countries,,1962,425406
Low Income Food Deficit Countries,,1963,447504
Low Income Food Deficit Countries,,1964,438922
Low Income Food Deficit Countries,,1965,413677
Low Income Food Deficit Countries,,1966,397449
Low Income Food Deficit Countries,,1967,457707
Low Income Food Deficit Countries,,1968,511821
Low Income Food Deficit Countries,,1969,524596
Low Income Food Deficit Countries,,1970,546779
Low Income Food Deficit Countries,,1971,534257
Low Income Food Deficit Countries,,1972,536090
Low Income Food Deficit Countries,,1973,537009
Low Income Food Deficit Countries,,1974,593720
Low Income Food Deficit Countries,,1975,634762
Low Income Food Deficit Countries,,1976,608890
Low Income Food Deficit Countries,,1977,585861
Low Income Food Deficit Countries,,1978,617311
Low Income Food Deficit Countries,,1979,598460
Low Income Food Deficit Countries,,1980,677913
Low Income Food Deficit Countries,,1981,622885
Low Income Food Deficit Countries,,1982,639623
Low Income Food Deficit Countries,,1983,621928
Low Income Food Deficit Countries,,1984,658931
Low Income Food Deficit Countries,,1985,697282
Low Income Food Deficit Countries,,1986,726724
Low Income Food Deficit Countries,,1987,738026
Low Income Food Deficit Countries,,1988,735956
Low Income Food Deficit Countries,,1989,808178
Low Income Food Deficit Countries,,1990,890060
Low Income Food Deficit Countries,,1991,877435
Low Income Food Deficit Countries,,1992,905033
Low Income Food Deficit Countries,,1993,906811
Low Income Food Deficit Countries,,1994,907259
Low Income Food Deficit Countries,,1995,925299
Low Income Food Deficit Countries,,1996,966534
Low Income Food Deficit Countries,,1997,887442
Low Income Food Deficit Countries,,1998,917620
Low Income Food Deficit Countries,,1999,929291
Low Income Food Deficit Countries,,2000,935611
Low Income Food Deficit Countries,,2001,896278
Low Income Food Deficit Countries,,2002,942081
Low Income Food Deficit Countries,,2003,925634
Low Income Food Deficit Countries,,2004,1023105
Low Income Food Deficit Countries,,2005,994857
Low Income Food Deficit Countries,,2006,1072034
Low Income Food Deficit Countries,,2007,1106906
Low Income Food Deficit Countries,,2008,1146558
Low Income Food Deficit Countries,,2009,1198951
Low Income Food Deficit Countries,,2010,1308826
Low Income Food Deficit Countries,,2011,1446295
Low Income Food Deficit Countries,,2012,1150413
Low Income Food Deficit Countries,,2013,1175018
Low Income Food Deficit Countries,,2014,1219496
Low Income Food Deficit Countries,,2015,1247972
Low Income Food Deficit Countries,,2016,1454368
Low Income Food Deficit Countries,,2017,1534248
Low Income Food Deficit Countries,,2018,1550508
Madagascar,MDG,1973,430
Madagascar,MDG,1974,925
Madagascar,MDG,1975,2700
Madagascar,MDG,1976,1035
Madagascar,MDG,1977,2285
Madagascar,MDG,1978,2300
Madagascar,MDG,1979,2300
Madagascar,MDG,1980,1885
Madagascar,MDG,1981,2010
Madagascar,MDG,1982,2700
Madagascar,MDG,1983,2700
Madagascar,MDG,1984,2800
Madagascar,MDG,1985,2900
Madagascar,MDG,1986,3000
Madagascar,MDG,1987,3200
Madagascar,MDG,1988,3400
Madagascar,MDG,1989,3600
Madagascar,MDG,1990,3800
Madagascar,MDG,1991,3800
Madagascar,MDG,1992,3850
Madagascar,MDG,1993,4000
Madagascar,MDG,1994,3400
Madagascar,MDG,1995,3600
Madagascar,MDG,1996,3400
Madagascar,MDG,1997,3500
Madagascar,MDG,1998,3500
Madagascar,MDG,1999,3700
Madagascar,MDG,2000,3500
Madagascar,MDG,2001,3182
Madagascar,MDG,2002,3499
Madagascar,MDG,2003,3575
Madagascar,MDG,2004,3607
Madagascar,MDG,2005,3594
Madagascar,MDG,2006,3482
Madagascar,MDG,2007,3841
Madagascar,MDG,2008,4131
Madagascar,MDG,2009,4021
Madagascar,MDG,2010,4100
Madagascar,MDG,2011,4200
Madagascar,MDG,2012,4300
Madagascar,MDG,2013,4200
Madagascar,MDG,2014,4236
Madagascar,MDG,2015,4174
Madagascar,MDG,2016,4185
Madagascar,MDG,2017,4182
Madagascar,MDG,2018,4178
Malaysia,MYS,1961,94846
Malaysia,MYS,1962,108171
Malaysia,MYS,1963,125691
Malaysia,MYS,1964,122913
Malaysia,MYS,1965,150411
Malaysia,MYS,1966,189687
Malaysia,MYS,1967,225758
Malaysia,MYS,1968,282984
Malaysia,MYS,1969,352096
Malaysia,MYS,1970,431069
Malaysia,MYS,1971,580389
Malaysia,MYS,1972,718580
Malaysia,MYS,1973,812614
Malaysia,MYS,1974,1045975
Malaysia,MYS,1975,1257573
Malaysia,MYS,1976,1391965
Malaysia,MYS,1977,1612747
Malaysia,MYS,1978,1785525
Malaysia,MYS,1979,2188699
Malaysia,MYS,1980,2573173
Malaysia,MYS,1981,2822144
Malaysia,MYS,1982,3510920
Malaysia,MYS,1983,3016481
Malaysia,MYS,1984,3714795
Malaysia,MYS,1985,4134463
Malaysia,MYS,1986,4542249
Malaysia,MYS,1987,4531960
Malaysia,MYS,1988,5027496
Malaysia,MYS,1989,6056501
Malaysia,MYS,1990,6094622
Malaysia,MYS,1991,6141353
Malaysia,MYS,1992,6373460
Malaysia,MYS,1993,7402930
Malaysia,MYS,1994,7220630
Malaysia,MYS,1995,7810546
Malaysia,MYS,1996,8385890
Malaysia,MYS,1997,9068730
Malaysia,MYS,1998,8319680
Malaysia,MYS,1999,10553918
Malaysia,MYS,2000,10842095
Malaysia,MYS,2001,11803788
Malaysia,MYS,2002,11909298
Malaysia,MYS,2003,13354769
Malaysia,MYS,2004,13976182
Malaysia,MYS,2005,14961654
Malaysia,MYS,2006,15880786
Malaysia,MYS,2007,15823745
Malaysia,MYS,2008,17734442
Malaysia,MYS,2009,17564938
Malaysia,MYS,2010,16993717
Malaysia,MYS,2011,18911520
Malaysia,MYS,2012,18785030
Malaysia,MYS,2013,19216459
Malaysia,MYS,2014,19667016
Malaysia,MYS,2015,19961581
Malaysia,MYS,2016,17319177
